category,question,year
Geografi,Eiffeltornet i Paris invigs och är för sin tid världens högsta byggnad.,1889
Geografi,Panamakanalen öppnas och förkortar sjövägen mellan Atlanten och Stilla havet.,1914
Geografi,Suezkanalen invigs och förändrar världshandeln.,1869
Geografi,Golden Gate Bridge invigs i San Francisco.,1937
Geografi,Titanic sjunker på sin jungfrufärd söder om Newfoundland.,1912
Geografi,Burj Khalifa i Dubai invigs och är med sina 828 meter världens högsta byggnad.,2010
Geografi,Kanaltunneln under Engelska kanalen öppnas för persontrafik.,1994
Geografi,Öresundsbron invigs och Malmö och Köpenhamn knyts ihop.,2000
Geografi,Den transsibiriska järnvägen färdigställs och förbinder Moskva med Vladivostok.,1916
Geografi,Gotthardstunneln i Schweiz öppnas och är världens längsta järnvägstunnel.,2016
Geografi,Japans shinkansen börjar trafikera sträckan Tokyo–Osaka.,1964
Geografi,Berlinmuren rivs och delade Berlin återförenas.,1989
Geografi,Brasília invigs som Brasiliens nya planerade huvudstad.,1960
Geografi,Sydney Opera House invigs.,1973
Geografi,Colosseum i Rom invigs med 100 dagars spel.,80
Geografi,Machu Picchu återupptäcks av Hiram Bingham och väcker världens intresse.,1911
Geografi,Taj Mahal i Agra färdigställs som monument åt kejsar Shah Jahans hustru.,1653
Geografi,Notre-Dame-katedralen i Paris drabbas av en stor brand och taket rasar.,2019
Geografi,Notre-Dame återöppnar efter fem års restaurering.,2024
Geografi,Tokyo Skytree invigs och är världens högsta torn med 634 meter.,2012
Geografi,Petronas Towers i Kuala Lumpur invigs och tar titeln som världens högsta.,1998
Geografi,One World Trade Center invigs på Ground Zero i New York.,2014
Geografi,Empire State Building invigs i New York.,1931
Geografi,Brooklyn Bridge öppnas och är för sin tid världens längsta hängbro.,1883
Geografi,Hoover Dam byggs färdigt och dämmer Coloradofloden i Nevada.,1936
Geografi,Italiens Ponte Morandi i Genua rasar och 43 människor dödas.,2018
Geografi,Cheopspyramiden byggs och är i mer än 3 800 år världens högsta byggnad.,2560 f.Kr.
Geografi,Stonehenge uppförs på Salisbury Plain i södra England.,2500 f.Kr.
Geografi,K2 bestigas för första gången av en italiensk expedition.,1954
Geografi,Aconcagua i Anderna bestigas för första gången av en europé.,1897
Geografi,Mont Blanc bestigas för allra första gången.,1786
Geografi,Kilimanjaro bestigas för första gången av Hans Meyer.,1889
Geografi,Marianergraven uppmäts till nästan 11 kilometer och är jordens djupaste punkt.,1951
Geografi,James Cameron dyker ensam till Marianergraven i en specialbyggd ubåt.,2012
Geografi,Mount Everest bestigas för första gången av Hillary och Tenzing Norgay.,1953
Geografi,Mount Everest stänger för klättring efter att laviner dödat 16 sherpor.,2014
Geografi,K2 bestigas för första gången på vintern av ett nepalesiskt lag.,2021
