category,question,year
Personer,Nelson Mandela friges efter 27 år i fängelse.,1990
Personer,Marie Curie tilldelas sitt andra Nobelpris – denna gång i kemi.,1911
Personer,Alfred Nobel skriver sitt berömda testamente och stiftar Nobelpriset.,1895
Personer,Albert Einstein publicerar sin allmänna relativitetsteori.,1915
Personer,Astrid Lindgren publicerar den första boken om Pippi Långstrump.,1945
Personer,Charles Darwin ger ut Om arternas uppkomst.,1859
Personer,Sigmund Freud publicerar Drömtydning och grundlägger psykoanalysen.,1899
Personer,Leonardo da Vinci påbörjar målningen av Mona Lisa.,1503
Personer,Napoleon kröner sig själv till kejsare av Frankrike.,1804
Personer,Winston Churchill blir Storbritanniens premiärminister.,1940
Personer,Kleopatra tillträder som Egyptens härskare vid 18 års ålder.,51 f.Kr.
Personer,Mahatma Gandhi påbörjar sin berömda saltmarsch.,1930
Personer,Martin Luther King håller sitt "I Have a Dream"-tal i Washington.,1963
Personer,Florence Nightingale reformerar sjukvården under Krimkriget.,1854
Personer,Ada Lovelace skriver världens första datorprogram.,1843
Personer,Isaac Newton publicerar sina gravitationslagar.,1687
Personer,William Shakespeare skriver Hamlet.,1600
Personer,Johannes Gutenberg uppfinner boktryckarkonsten med rörliga typer.,1440
Personer,Alexander den store grundar Alexandria i Egypten.,331 f.Kr.
Personer,Karl Marx och Friedrich Engels publicerar Det kommunistiska manifestet.,1848
Personer,Nikola Tesla demonstrerar växelström offentligt för första gången.,1893
Personer,Galileo Galilei bekräftar med teleskop att Jorden kretsar kring solen.,1610
Personer,Alan Turing bryter den tyska Enigma-koden under andra världskriget.,1941
Personer,Angela Merkel väljs till Tysklands första kvinnliga förbundskansler.,2005
Personer,Frida Kahlo målar Självporträttet med tagghalsbandet.,1940
Personer,Nelson Mandela väljs till Sydafrikas förste svarte president.,1994
Personer,Yuri Gagarin blir den förste människan i rymden.,1961
Personer,Marie Curie får sitt första Nobelpris – i fysik.,1903
Personer,Konfucius börjar undervisa sina lärjungar i Kina.,500 f.Kr.
Personer,Abraham Lincoln undertecknar frihetsbrevet som avskaffar slaveriet.,1863
Personer,Sokrates döms till döden i Aten för att ha korrumperat ungdomen.,399 f.Kr.
Personer,Michelangelo börjar måla Sixtinska kapellets tak.,1508
Personer,Wolfgang Amadeus Mozart framför sin första symfoni som sjuåring.,1763
Personer,Ludwig van Beethoven framför sin nionde symfoni – trots att han är döv.,1824
Personer,Simone de Beauvoir publicerar Det andra könet.,1949
Personer,Pablo Picasso och Georges Braque grundar kubismen.,1907
Personer,Ernest Hemingway tilldelas Nobelpriset i litteratur.,1954
Personer,Rosa Parks vägrar ge upp sin plats på bussen i Montgomery.,1955
Personer,Che Guevara och Fidel Castro landar på Kuba med 82 rebeller.,1956
Personer,Dalai Lama flyr från Tibet till Indien efter det kinesiska maktövertagandet.,1959
Personer,Malala Yousafzai skjuts av talibanerna och överlever.,2012
Personer,Stephen Hawking publicerar En kort historik över tid.,1988
Personer,Roald Amundsen når sydpolen som förste människa.,1911
Personer,Moder Teresa grundar Missionärernas välgörenhetsorden i Calcutta.,1950
Personer,Bob Dylan tilldelas Nobelpriset i litteratur.,2016
Personer,Greta Thunberg håller sitt tal vid FN:s klimattoppmöte i New York.,2019
Personer,Albert Einstein flyr Nazityskland och emigrerar till USA.,1933
Personer,Tsar Peter den store grundar Sankt Petersburg.,1703
Personer,Marie Curie föds i Warszawa i Polen.,1867
Personer,Albert Einstein föds i Ulm i Tyskland.,1879
Personer,Leonardo da Vinci föds i Vinci i Toscana.,1452
Personer,William Shakespeare föds i Stratford-upon-Avon i England.,1564
Personer,Isaac Newton föds i Woolsthorpe i England.,1643
Personer,Charles Darwin föds på Shrewsbury i England.,1809
Personer,Sigmund Freud föds i Freiberg i Mähren.,1856
Personer,Nikola Tesla föds i Smiljan i Serbien.,1856
Personer,Abraham Lincoln föds i en liten stuga i Kentucky.,1809
Personer,Napoleon Bonaparte föds på Korsika.,1769
Personer,Wolfgang Amadeus Mozart föds i Salzburg i Österrike.,1756
Personer,Ludwig van Beethoven föds i Bonn i Tyskalnd.,1770
Personer,Karl Marx föds i Trier i Preussen.,1818
Personer,Florence Nightingale föds i Florens och uppkallas efter staden.,1820
Personer,Ada Lovelace föds som dotter till Lord Byron i London.,1815
Personer,Galileo Galilei föds i Pisa i Italien.,1564
Personer,Marie Curie dör av aplastisk anemi orsakad av strålning.,1934
