category,question,year
Sport,Zlatan Ibrahimović gör sitt berömda bicicleta-mål mot England.,2012
Sport,Björn Borg vinner sin femte Wimbledontitel i rad.,1980
Sport,Sverige tar OS-guld i ishockey i Lillehammer.,1994
Sport,Ingemar Stenmark vinner sitt första olympiska guld i slalom.,1980
Sport,Tiger Woods vinner sitt första Major-mästerskap i golf.,1997
Sport,Muhammad Ali besegrar George Foreman i Rumble in the Jungle.,1974
Sport,Pelé spelar sin sista VM-final och Brasilien vinner turneringen.,1970
Sport,Roger Federer vinner sin första Wimbledontitel.,2003
Sport,Maratonlöparen Abebe Bikila tar OS-guld barfota i Rom.,1960
Sport,Mike Tyson blir den yngste tungviktsmästaren i boxningshistorien.,1986
Sport,Sverige vinner fotbolls-VM i damer för första gången.,1991
Sport,Usain Bolt slår världsrekord på 100 meter i Berlin.,2009
Sport,Nadia Comaneci får det första perfekta 10-betyget i gymnastik vid OS.,1976
Sport,Sverige når fotbolls-VM-final och slutar på andra plats.,1958
Sport,Jesse Owens tar fyra OS-guld i Berlin inför Adolf Hitler.,1936
Sport,Steffi Graf vinner golden slam – alla fyra grand slams och OS-guld samma år.,1988
Sport,Annika Sörenstam slår LPGA-rekord med 59 slag på en runda.,2001
Sport,Katarina Witt tar OS-guld i konståkning i Sarajevo.,1984
Sport,Carl Lewis vinner fyra OS-guld i Los Angeles.,1984
Sport,Mats Wilander vinner Australian Open och tar sin första grand slam.,1983
Sport,Simone Biles tar fyra OS-guld i gymnastik i Rio.,2016
Sport,Michael Jordan leder Chicago Bulls till sitt sjätte NBA-mästerskap.,1998
Sport,Martina Navratilova vinner sin nionde Wimbledontitel.,1990
Sport,Ayrton Senna vinner sin första Formel 1-världsmästartitel.,1988
Sport,Jamaicas bobbyteam deltar i OS för första gången i Calgary.,1988
Sport,Ben Johnson diskvalificeras för doping efter 100-meterfinal i Seoul.,1988
Sport,Wayne Gretzky tradeas till Los Angeles Kings och chockar hockeyvärlden.,1988
Sport,Diego Maradona gör sitt ökända Hand of God-mål mot England.,1986
Sport,Paula Radcliffe sätter maratonvärldsrekord i London.,2003
Sport,Serena Williams vinner sin 23:e grand slam-titel i Australian Open.,2017
Sport,Niki Lauda överlever en svår krasch på Nürburgring och återvänder till F1.,1976
Sport,Tommie Smith och John Carlos höjer knuten näve på prispallen i Mexico City.,1968
Sport,Borje Salming tas in i Hockey Hall of Fame.,1996
Sport,Eric Heiden vinner fem OS-guld i skridskoåkning i Lake Placid.,1980
Sport,Severiano Ballesteros vinner British Open som 22-åring.,1979
Sport,Florence Griffith-Joyner springer 100 meter på världsrekordtid.,1988
Sport,Pakistan vinner kriket-VM för första gången.,1992
Sport,Zinedine Zidane nickar en skalle på Marco Materazzi i VM-finalen.,2006
Sport,Bob Beamon slår längdhoppsvärldsrekord med 8.90 meter i Mexico City.,1968
Sport,Rafael Nadal vinner French Open för tionde gången.,2017
Sport,South Africa är värd för fotbolls-VM – det första på afrikansk mark.,2010
Sport,Lance Armstrong vinner Tour de France för första gången.,1999
Sport,Tonya Harding-skandalen skakar konståkningsvärlden inför OS.,1994
Sport,Ronaldo gör sitt 500:e karriärmål i proffsfotboll.,2012
Sport,Pelé gör sitt 1000:e mål i karriären.,1969
Sport,Björn Dæhlie vinner åtta OS-guld i längdskidor och sätter rekord.,1998
Sport,Mark Spitz vinner sju OS-guld i simning i München.,1972
Sport,Olga Korbut trollbinder världen med sin fria rörelse i München.,1972
Sport,Peter Norman springer med Smith och Carlos i protest vid OS i Mexico City.,1968
Sport,Jonah Lomu gör fyra mål mot England i rugby-VM och chockar världen.,1995
Sport,Ayrton Senna omkommer i en krasch under Formel 1-loppet i San Marino.,1994
Sport,Mike Tyson biter av ett stycke av Evander Holyfields öra i en boxningsmatch.,1997
Sport,Tiger Woods vinner Masters som yngste vinnare och med 12 slags marginal.,1997
Sport,Sebastian Vettel vinner sitt fjärde raka F1-världsmästerskap.,2013
Sport,Ronaldinho utsedd till världens bäste fotbollsspelare av FIFA.,2004
Sport,Lindsey Vonn vinner sin första världscuptitel i störtlopp.,2008
Sport,Mo Farah vinner guld på både 5000 och 10000 meter i OS i London.,2012
Sport,Andy Murray vinner Wimbledon och bryter Storbritanniens 77-åriga torka.,2013
Sport,Lewis Hamilton vinner sitt sjunde F1-världsmästerskap.,2020
Sport,Neymar Jr. säljs till Paris Saint-Germain för rekordpriset 222 miljoner euro.,2017
