category,question,year
Nöje,The Beatles spelar sin sista konsert – på ett hustak i London.,1969
Nöje,Melodifestivalen hålls för första gången i Sverige.,1959
Nöje,Titanic får sin biopremiär och blir en global kassasuccé.,1997
Nöje,Elvis Presley gör sitt genombrott med singeln Heartbreak Hotel.,1956
Nöje,Disneyland öppnar för första gången i Anaheim Kalifornien.,1955
Nöje,Sverige vinner Eurovision Song Contest med ABBA och låten Waterloo.,1974
Nöje,Michael Jackson släpper albumet Thriller.,1982
Nöje,Harry Potter och de vises sten publiceras av J.K. Rowling.,1997
Nöje,Netflix lanseras som streamingtjänst för film och TV.,2007
Nöje,The Simpsons visas för allra första gången på amerikansk TV.,1989
Nöje,Spotify lanseras och förändrar musikbranschen.,2008
Nöje,Star Wars – Episod IV har världspremiär.,1977
Nöje,Astrid Lindgrens Emil i Lönneberga publiceras för första gången.,1963
Nöje,Madonna släpper albumet Like a Virgin.,1984
Nöje,James Bond-filmen Dr. No har världspremiär.,1962
Nöje,Bamse skapas av Rune Andréasson och publiceras för första gången.,1966
Nöje,The Rolling Stones håller sin första konsert i London.,1962
Nöje,YouTube grundas och förändrar hur världen konsumerar video.,2005
Nöje,Pixar släpper Toy Story – den första helanimerade datorfilmen.,1995
Nöje,The Lion King har biopremiär och sätter kassarekord för animerade filmer.,1994
Nöje,Sunes sommar har biopremiär i Sverige.,1993
Nöje,Svenska Idol sänds för första gången på TV4.,2004
Nöje,Seinfeld visas för första gången på NBC.,1989
Nöje,Woodstock-festivalen samlar 400 000 människor i New York.,1969
Nöje,The Beatles släpper Sgt. Pepper's Lonely Hearts Club Band.,1967
Nöje,Bob Dylan släpper albumet Highway 61 Revisited.,1965
Nöje,Queen spelar sin legendariska konsert på Live Aid i Wembley.,1985
Nöje,Michael Jackson framför moonwalk för första gången på TV.,1983
Nöje,Nirvana släpper albumet Nevermind och grunge tar världen med storm.,1991
Nöje,Sveriges Television sänder för allra första gången.,1956
Nöje,Walt Disney-studion lanserar Snövit – den första långfilmsanimationen.,1937
Nöje,Den första upplagan av Kalle Anka-tidningen ges ut i Sverige.,1948
Nöje,Avicii släpper hitsingeln Levels och tar världen med storm.,2011
Nöje,Stieg Larssons Män som hatar kvinnor ges ut postumt.,2005
Nöje,Matilda av Roald Dahl publiceras för första gången.,1988
Nöje,Alfred Hitchcocks Psycho har biopremiär och chockar publiken.,1960
Nöje,Monty Python and the Holy Grail har biopremiär.,1975
Nöje,The Lord of the Rings – Ringarnas Herre publiceras av Tolkien.,1954
Nöje,Ingmar Bergmans Det sjunde inseglet har biopremiär i Sverige.,1957
Nöje,ABBA bildas formellt som grupp i Sverige.,1972
Nöje,David Bowie lanserar Ziggy Stardust-alter egot med det nya albumet.,1972
Nöje,The Godfather har biopremiär och vinner tre Oscars.,1972
Nöje,Sällskapsresan har biopremiär i Sverige.,1980
Nöje,E.T. The Extra-Terrestrial har biopremiär och slår kassarekord.,1982
Nöje,Robyn debuterar med singeln Do You Know What It Takes.,1995
Nöje,TV-serien Friends visas för första gången på NBC.,1994
Nöje,Pokemon-spelen Red och Blue lanseras i Japan.,1996
Nöje,Ikea-katalogen trycks för sista gången efter 70 år.,2021
Nöje,Minecraft säljs för första gången och revolutionerar spelvärlden.,2009
Nöje,Beyoncé släpper sitt självbetitlade hemliga album utan förhandsreklam.,2013
Nöje,The Dark Knight har biopremiär med Heath Ledgers sista roll.,2008
Nöje,Breaking Bad-seriens sista avsnitt sänds och hyllas av kritiker.,2013
Nöje,Game of Thrones börjar sändas på HBO.,2011
Nöje,Sopranos börjar sändas och revolutionerar TV-dramat.,1999
Nöje,The Wire börjar sändas och anses av många vara den bästa TV-serien.,2002
Nöje,Lost börjar sändas och skapar ett globalt fenomen.,2004
Nöje,Mad Men börjar sändas på AMC och skapar Draper-hyseri.,2007
Nöje,Stranger Things debuterar på Netflix och hyllar 80-talsnostalgi.,2016
Nöje,The Crown börjar sändas och berättar brittiska kungahusets historia.,2016
Nöje,Squid Game lanseras på Netflix och blir en global sensation.,2021
Nöje,Bridgerton blir Netflix mest sedda serie under sin premiärvecka.,2020
Nöje,Avatar har biopremiär och blir den dittills bäst inkomstbringande filmen.,2009
Nöje,Avengers: Endgame slår Avatars kassarekord.,2019
Nöje,Black Panther har biopremiär och blir en kulturell milstolpe.,2018
Nöje,Parasite vinner Oscars bästa film och är den första icke-engelskspråkiga filmen att göra det.,2020
Nöje,Slumdog Millionaire vinner Oscars bästa film och hyllas.,2009
Nöje,Schindlers lista vinner Oscars bästa film.,1994
Nöje,Silence of the Lambs vinner alla fem stora Oscars.,1992
Nöje,Forest Gump vinner Oscars bästa film.,1995
Nöje,Gladiator vinner Oscars bästa film.,2001
Nöje,No Country for Old Men vinner Oscars bästa film.,2008
Nöje,The Artist – en stum film – vinner Oscars bästa film.,2012
Nöje,Moonlight vinner Oscars bästa film efter en dramatisk felmeddelandescen.,2017
Nöje,Bohemian Rhapsody har biopremiär och hyllar Freddie Mercury.,2018
Nöje,Joker har biopremiär och Joaquin Phoenix vinner Oscar för sin roll.,2019
Nöje,TikTok lanseras globalt och förändrar hur yngre generationer konsumerar innehåll.,2018
Nöje,Instagram lanseras och förändrar hur vi delar bilder.,2010
Nöje,Twitter lanseras och mikrobloggning blir ett fenomen.,2006
Nöje,Snapchat lanseras och försvinnande meddelanden blir populärt.,2011
Nöje,WhatsApp köps av Facebook för 19 miljarder dollar.,2014
Nöje,Pokémon Go lanseras och miljoner går ut för att fånga Pokémon.,2016
Nöje,Fortnite lanseras och battle royale-spel exploderar i popularitet.,2017
Nöje,Grand Theft Auto V lanseras och säljer 90 miljoner exemplar.,2013
Nöje,The Last of Us lanseras till PlayStation och hyllas av kritiker.,2013
Nöje,Legend of Zelda: Breath of the Wild hyllas som ett av de bästa spelen någonsin.,2017
Nöje,Super Mario Bros. lanseras i Japan och förändrar spelbranschen.,1985
Nöje,Tetris uppfinns av en rysk programmerare.,1984
Nöje,CD-skivan lanseras och ersätter vinylen hos många lyssnare.,1982
Nöje,MP3-formatet lanseras och börjar revolutionera musik-distribution.,1994
Nöje,Napster lanseras och gratis musikdelning skapar kaos i musikbranschen.,1999
Nöje,iTunes Store öppnas och Apple skapar ett nytt sätt att köpa musik.,2003
Nöje,Streaming blir större än köpt musik i USA för första gången.,2016
Nöje,Vinyl-försäljningen överstiger CD-försäljningen i USA för första gången sedan 80-talet.,2020
Nöje,Adele släpper albumet 21 och det säljer 31 miljoner exemplar.,2011
Nöje,Taylor Swift bryter upp med skivbolaget och sätter in de gamla albumen igen.,2021
Nöje,BTS-gruppen från Sydkorea når toppen av Billboard Hot 100.,2020
Nöje,Billie Eilish vinner Grammy för årets album vid 18 års ålder.,2020
Nöje,Doja Cat och Olivia Rodrigo dominerar musiken under ett turbulent pandemiår.,2021
Nöje,Harry Styles debuterar som soloartist efter One Direction.,2017
Nöje,The Weeknd spelar Super Bowl-halvtidsshown med sin karaktäristiska look.,2021
Nöje,Coldplay lanserar sin debutsingel Shiver.,1999
Nöje,Radiohead lanserar albumet OK Computer och förändrar alternativrocken.,1997
Nöje,Daft Punk lanserar albumet Discovery och elektronikamusiken exploedrar.,2001
Nöje,Jay-Z och Kanye West släpper Watch the Throne och hyllas.,2011
Nöje,Kendrick Lamar vinner Pulitzerpriset för albumet DAMN.,2018
