category,question,year
Historia,Titanic sjunker på sin jungfrufärd i Atlanten.,1912
Historia,Atombomben fälls över Hiroshima.,1945
Historia,Den stora kinesiska muren börjar byggas under Qin-dynastin.,221 f.Kr.
Historia,Andra världskriget tar slut i Europa med Tysklands kapitulation.,1945
Historia,Första världskriget bryter ut efter mordet på Franz Ferdinand.,1914
Historia,Den franska revolutionen börjar med stormningen av Bastiljen.,1789
Historia,Romarriket delas i ett östligt och ett västligt rike.,395
Historia,Kristoffer Columbus landar på en ö i Karibien.,1492
Historia,Svarta pesten når Europa och tar livet av en tredjedel av befolkningen.,1347
Historia,Ryssland genomgår sin revolution och tsaren avsätts.,1917
Historia,USA utropar sig självständigt från Storbritannien.,1776
Historia,Julius Caesar mördas den 15 mars i Rom.,44 f.Kr.
Historia,Harald Blåtand dödas av sin son Sven Tveskägg.,986
Historia,Reformationen inleds när Martin Luther spikar upp sina 95 teser.,1517
Historia,Napoleon besegras definitivt vid Waterloo.,1815
Historia,Aten grundar det första demokratiska styret i världen.,508 f.Kr.
Historia,Magna Carta undertecknas av den engelske kungen Johan.,1215
Historia,Det osmanska riket erövrar Konstantinopel och bysantinska riket faller.,1453
Historia,Aztekernas huvudstad Tenochtitlán erövras av Hernán Cortés.,1521
Historia,Neil Armstrong sätter foten på månen.,1969
Historia,Koreanska halvön delas efter krigets slut vid 38:e breddgraden.,1953
Historia,Apartheid avskaffas formellt i Sydafrika.,1991
Historia,FN grundas i San Francisco.,1945
Historia,Hiroshima och Nagasaki bombas och Japan kapitulerar.,1945
Historia,Det romerska Colosseum invigs med 100 dagars spel.,80
Historia,Vikingatågen börjar med attacken på klostret Lindisfarne i England.,793
Historia,Det engelska inbördeskriget slutar med kung Karls avrättning.,1649
Historia,Den spanska armadan besegras av England till havs.,1588
Historia,Slavhandeln avskaffas officiellt i det brittiska imperiet.,1807
Historia,Kalla kriget börjar formellt med Trumandoktrinen.,1947
Historia,Mao Zedong utropar Folkrepubliken Kina i Peking.,1949
Historia,Romulus Augustus avsätts och västromerska riket faller.,476
Historia,Crusaders erövrar Jerusalem under det första korståget.,1099
Historia,Reconquistan avslutas när Granada faller för Isabella och Ferdinand.,1492
Historia,Dreyfusaffären skakar Frankrike och avslöjar antisemitism i armén.,1894
Historia,Adolf Hitler utses till rikskansler i Tyskland.,1933
Historia,Nurembergrättegångarna dömer nazistiska krigsförbrytare.,1946
Historia,Koreakriget bryter ut när Nordkorea invaderar Sydkorea.,1950
Historia,Det amerikanska inbördeskriget bryter ut vid Fort Sumter.,1861
Historia,USA drabbas av terroristattackerna den 11 september.,2001
Historia,Irakkriget inleds med USA:s invasion av Irak.,2003
Historia,Den arabiska våren börjar med protester i Tunisien.,2010
Historia,Romartidens glansperiod börjar under kejsar Augustus.,27 f.Kr.
Historia,Alexander den stores välde sträcker sig från Grekland till Indien.,323 f.Kr.
Historia,Ramses II undertecknar det äldsta kända fredsfördraget med hettiterna.,1259 f.Kr.
Historia,Perserna besegras av grekerna vid Marathon.,490 f.Kr.
Historia,Athen besegras av Sparta i det Peloponnesiska kriget.,404 f.Kr.
Historia,Roms republik grundas efter kung Tarquinius drivs bort.,509 f.Kr.
Historia,Hannibals armé korsar Alperna med elefanter för att attackera Rom.,218 f.Kr.
Historia,Pompejus och Caesar utkämpar inbördeskrig om kontrollen av Rom.,49 f.Kr.
Historia,Romarrikets förste kejsare Augustus tillträder.,27 f.Kr.
Historia,Judarna fördrivs från Jerusalem av romarna och templet förstörs.,70
Historia,Kristendomen legaliseras i Romarriket genom Ediktet i Milano.,313
Historia,Romarrikets sista kejsare i väst avsätts av germanska stammar.,476
Historia,Muhammed flyr från Mekka till Medina – Hijra – och islam grundläggs.,622
Historia,Karl den store kröns till kejsare av det heliga romerska riket.,800
Historia,Slaget vid Hastings avgörs och Vilhelm Erövraren tar England.,1066
Historia,De första korsriddarnas armé lämnar Europa för att erövra Jerusalem.,1096
Historia,Gengis Khan enar de mongoliska stammarna och börjar erövra Asien.,1206
Historia,Mongoliterna stormar och förstör Baghdad och avlutar abbasidernas välde.,1258
Historia,Svarta döden når Florens och slukar halva stadens befolkning.,1348
Historia,Hundraårskriget mellan England och Frankrike inleds.,1337
Historia,Jeanne d'Arc leder Frankrikes armé till seger och vänder krigets gång.,1429
Historia,Boktryckarkonsten sprider sig i Europa och förändrar informationsflödet.,1455
Historia,Vasco da Gama hittar sjövägen till Indien runt Godahoppsudden.,1498
Historia,Ferdinand Magellan leder den första jordenruntsegling – men dör under resan.,1519
Historia,Aztekernas härskare Montezuma II möter Hernán Cortés i Tenochtitlán.,1519
Historia,Inkariket faller när Francisco Pizarro fångar kung Atahuallpa.,1532
Historia,Trettioåriga kriget rasar i Europa och utplånar en tredjedel av Tysklands befolkning.,1618
Historia,Den engelska revolutionen leder till Cromwells styre och republiken.,1642
Historia,Den stora pesten dödar en femtedel av Londons befolkning.,1665
Historia,Det habsburgska riket delas i ett österrikisk-ungersk dubbeldöme.,1867
Historia,Bismarcks samlar tyska stater till ett enat Tyska riket.,1871
Historia,Den rysk-japanska kriget slutar med ett japanskt segrat och en fredsskandal.,1905
Historia,Mordet på Rasputin skakar det ryska kungahuset.,1916
Historia,Den ryska revolutionen avsätter tsaren och bolsjevikerna tar makten.,1917
Historia,Versaillesfreden avslutar Första världskriget och lägger grunden för nästa.,1919
Historia,Benito Mussolini marscherar in i Rom och tar makten i Italien.,1922
Historia,Den stora börskraschen på Wall Street utlöser den stora depressionen.,1929
Historia,Japan invaderar Manchuriet och börjar expansionen i Asien.,1931
Historia,Tyskland ockuperar Österrike i Anschluss utan motstånd.,1938
Historia,Sovjet och Nazityskland undertecknar Molotov-Ribbentrop-pakten.,1939
Historia,Andra världskriget börjar med Tysklands invasion av Polen.,1939
Historia,Dunkerqueevakueringen räddar 300 000 brittiska soldater.,1940
Historia,Slaget om Storbrittanien hindar Nazityskland från att invadera England.,1940
Historia,Japan attackerar Pearl Harbor och USA inträder i andra världskriget.,1941
Historia,Slaget vid Stalingrad vänder krigslyckan på östfronten.,1942
Historia,Landstigningen i Normandie på D-dagen inleder allierades framryckning.,1944
Historia,Förintelsen är avslöjad när koncentrationsläger befrias av allierade.,1945
Historia,Atombomben fälls över Nagasaki tre dagar efter Hiroshima.,1945
Historia,Kalla kriget inleds och järnridån delar Europa i öst och väst.,1947
Historia,Statens Israel utropas och grannländerna attackerar omedelbart.,1948
Historia,NATO grundas som en försvarsallians för väst.,1949
Historia,Koreakriget avslutas med vapenstillestånd men inget fredsavtal.,1953
Historia,Vietnamkriget eskalerar när USA sätter in stridstrupper.,1965
Historia,Månskeppet Apollo 11 landar på månen och Armstrong tar det första steget.,1969
Historia,Oljekrisen slår mot världsekonomin efter Yom Kippur-kriget.,1973
Historia,Saigon faller och Vietnamkriget slutar med nordvietnamesisk seger.,1975
Historia,Camp David-avtalet ger fred mellan Egypten och Israel.,1978
Historia,Tjernobylolyckan är den värsta kärnkraftsolyckan i historien.,1986
Historia,Berlinmuren faller och Kalla kriget börjar lida mot sitt slut.,1989
Historia,Irakiska invasionen av Kuwait utlöser Gulfkriget.,1990
Historia,Folkmordet i Rwanda dödar uppemot 800 000 människor på 100 dagar.,1994
Historia,Dayton-avtalet avslutar Bosnienkriget.,1995
Historia,NATO bombar Serbien under Kosovokriget.,1999
Historia,George W. Bush väljs till USA:s president i ett omdiskuterat val.,2000
Historia,Tsunamin i Indiska oceanen dödar 230 000 i 14 länder på annandag jul.,2004
Historia,Barack Obama väljs till USA:s förste afroamerikanske president.,2008
Historia,Arabiska våren välter diktatorer i Nordafrika och Mellanöstern.,2011
Historia,IS utropar ett kalifat och erövrar stora delar av Irak och Syrien.,2014
Historia,Ryssland annekterar Krim och stödjer separatister i östra Ukraina.,2014
Historia,Donald Trump väljs oväntat till USA:s president.,2016
Historia,Storbritanniens folkomröstning resulterar i Brexit.,2016
Historia,COVID-19-pandemin drabbar hela världen och miljoner dör.,2020
Historia,Joe Biden besegrar Donald Trump och blir USA:s 46:e president.,2020
Historia,USA:s kongress stormas av Trump-supportrar.,2021
Historia,Ryssland inleder en fullskalig invasion av Ukraina.,2022
Historia,Hamas attackerar Israel och utlöser ett storskaligt krig i Gaza.,2023
Historia,Astrid Lindgrens Pippi Långstrump publiceras för första gången.,1945
Historia,Gustav Vasa väljs till kung och Sverige frigörs från Kalmarunionen.,1523
Historia,Karl XII dör under belägringen av Fredriksten fästning i Norge.,1718
Historia,Sverige förlorar Finland till Ryssland i kriget 1808-1809.,1809
Historia,Sveriges sista krig avslutas med en seger mot Norge.,1814
Historia,Olof Palme mördas på öppen gata i Stockholm.,1986
Historia,Anna Lindh mördas på NK i Stockholm.,2003
Historia,Attentaten på Utøya och i Oslo dödar 77 människor i Norge.,2011
Historia,Vaxholmsinstansen grundläggs och Sverige förbjuder Lettlands bygglag.,2004
Historia,Sverige tar emot rekordmånga flyktingar under flyktingkrisen.,2015
Historia,Sverige inför gränskontroller mot Danmark under flyktingkrisen.,2015
Historia,Gustav II Adolf dör i slaget vid Lützen och Sverige förlorar sin kung.,1632
Historia,Stor-Nordiska kriget börjar och Sverige dras in i ett långt krig.,1700
Historia,Kung Karl XII invaderar Ryssland och lider ett förödande nederlag vid Poltava.,1709
Historia,Sverige och Danmark ingår en union – Kalmarunionen.,1397
Historia,Stockholms blodbad genomförs av den danske kungen Kristian II.,1520
Historia,Vasaskeppet sjunker på sin jungfrufärd i Stockholms ström.,1628
Historia,Freden i Roskilde avslutar Karl X Gustafs krig mot Danmark.,1658
Historia,Sverige antar en ny liberalare grundlag och tryckfriheten stärks.,1766
Historia,Sverige avskaffar dödsstraffet i fredstid.,1921
Historia,Sverige förklarar sig neutralt i Första världskriget.,1914
Historia,Sverige förklarar sig neutralt i Andra världskriget.,1939
Historia,Metallstrejken i Sverige är den dittills längsta strejken i svensk historia.,1945
Historia,Riksdagen beslutar om allmän och lika rösträtt för kvinnor i Sverige.,1921
Historia,Saltsjöbadsavtalet sluts och sätter grunden för den svenska modellen.,1938
Historia,Sverige övergår till högertrafik.,1967
Historia,LKAB:s gruvarbetare strejkar i Kiruna och startar en lönekampanj.,1969
Historia,IB-affären avslöjas och skakar Sverige.,1973
Historia,Stålbadet genomförs och tusentals svenska ståljobb försvinner.,1977
Historia,Fälldinregeringen avgår efter kärnkraftsfrågan.,1978
Historia,Sverige röstar i folkomröstning om kärnkraft och väljer att avveckla.,1980
Historia,Linjeflygtsplansolyckan i Gottröra dödar 129 passagerare.,1991
Historia,Sverige genomgår en bankkrisis och räntorna skjuter i höjden.,1992
Historia,Sverige röstar ja till EU-medlemskap i en folkomröstning.,1994
Historia,Sverige inför euron som valuta – röstar nej i en folkomröstning.,2003
Historia,Tsunamikatastrofen i Sydostasien är den dödligaste naturkatastrofen på decennier.,2004
Historia,Jordbävningen i Haiti dödar 230 000 människor.,2010
Historia,Jordbävningen och tsunamin i Japan orsakar en kärnenergikatastrof.,2011
Historia,Sars-epidemin sprider sig från Kina till 30 länder.,2003
Historia,Svininfluensan utlyses till pandemi av WHO.,2009
Historia,Ebola-utbrottet i Västafrika är det dödligaste i historien.,2014
Historia,Corona-pandemin utlyses officiellt till pandemi av WHO.,2020
Historia,Rymdsonden Voyager 1 lämnar solsystemet och når interstellärt rymd.,2012
Historia,Rymdfärjan Challenger exploderar sekunder efter uppskjutning.,1986
Historia,Rymdfärjan Columbia exploderar vid återinträdet i atmosfären.,2003
Historia,Apollo 13 överlever en explosion och besättningen räddas.,1970
Historia,ISS invigs och de första astronauterna bor ombord.,2000
Historia,Elon Musks SpaceX skickar upp de första privata astronauterna till ISS.,2020
Historia,James Webb-teleskopet skickar sina första bilder och förundrar världen.,2022
Historia,Hubble-teleskopet repararas i rymden av astronauter.,1993
Historia,Marsrovern Curiosity landar på Mars.,2012
Historia,Marsrovern Perseverance landar på Mars och söker spår av liv.,2021
Historia,New Horizons passerar Pluto och skickar de första närbilerna.,2015
Historia,Rymdsonden Cassini dyker ner i Saturnus atmosfär efter 13 år.,2017
Historia,ESAs Rosetta-sond landar en farkost på en komet.,2014
Historia,Gravitationsvågor detekteras för första gången och bekräftar Einsteins teori.,2015
Historia,Svarta hålets första fotografering presenteras av Event Horizon Telescope.,2019
Historia,CERN bekräftar att Higgspartikeln har hittats.,2012
Historia,Nobelpriset i fysik tilldelas för forskning om grafén.,2010
Historia,Nobelpriset i kemi tilldelas för CRISPR-tekniken.,2020
Historia,Klimatavtalet i Paris undertecknas av 196 länder.,2015
Historia,Kyotoprotokolltet träder i kraft och binder länder till utsläppsmål.,2005
Historia,Rio-konferensen om miljö och hållbarhet hålls och Agenda 21 antas.,1992
Historia,Stockholmskonferensen om miljö hålls och är den första av sitt slag.,1972
Historia,Kärnkraftsolyckan vid Three Mile Island skapar panik i USA.,1979
Historia,Biologiska mångfaldskonventionen undertecknas i Rio de Janeiro.,1992
Historia,Ozonlagrets hål mäts och befanns ha minskat tack vare CFC-förbudet.,2019
Historia,Världshälsoorganisationen WHO grundas av FN.,1948
Historia,Barnkonventionen antas av FN:s generalförsamling.,1989
Historia,Deklarationen om mänskliga rättigheter antas av FN.,1948
Historia,Romstadgan om Internationella brottmålsdomstolen ICC träder i kraft.,2002
Historia,Nato grundas som militär försvarsallians för demokratier i väst.,1949
Historia,Warszawapakten grundas som Sovjetunionens motpol till NATO.,1955
Historia,Berlinblockaden misslyckas efter en massiv luftbro av de allierade.,1948
Historia,Kuba-krisen för världen nära ett kärnvapenkrig.,1962
Historia,USA och Sovjet undertecknar ett avtal om att minska kärnvapen – SALT I.,1972
Historia,Reagan och Gorbatjov träffas i Reykjavik och diskuterar kärnvapennedrustning.,1986
Historia,Sovjet drar sig ut ur Afghanistan.,1989
Historia,Berlinmurens fall leder till Tysklands återförening ett år senare.,1990
Historia,Ukrainas president Zelenskyj håller tal inför den amerikanska kongressen.,2022
Historia,Roms stad grundas enligt romersk tradition vid Tiberns strand.,753 f.Kr.
Historia,Det första kända lagverket – Ur-Nammus kodex – skapas i Mesopotamien.,2100 f.Kr.
Historia,Hammurabi stiftar sitt berömda lagverk och rättvisa kodifieras.,1754 f.Kr.
Historia,De egyptiska pyramiderna vid Giza byggs under farao Cheops tid.,2560 f.Kr.
Historia,Tutankhamons grav öppnas av Howard Carter i Luxors Dal der kungarna.,1922
Historia,Kleopatras Egypten faller och Romarriket tar kontroll över landet.,30 f.Kr.
