category,question,year
Allmänbildning,Det blir lagligt att sätta en påhängsmotor på cykeln i Sverige – mopeden föds.,1952
Allmänbildning,Alexander Fleming upptäcker penicillinet av en ren slump.,1928
Allmänbildning,Apple lanserar den allra första iPhone.,2007
Allmänbildning,Internet öppnas för allmänheten för första gången.,1991
Allmänbildning,Det första flygplanet tar sin jungfruflykt med bröderna Wright vid kontrollen.,1903
Allmänbildning,James Watson och Francis Crick presenterar DNA:s dubbelhelixstruktur.,1953
Allmänbildning,Ångmaskinen patenteras av James Watt och industrialiseringen tar fart.,1769
Allmänbildning,Albert Einstein publicerar sin speciella relativitetsteori.,1905
Allmänbildning,Rymdsonden Voyager 1 skjuts upp mot det yttre solsystemet.,1977
Allmänbildning,Hål i ozonlagret ovanför Antarktis upptäcks av brittiska forskare.,1985
Allmänbildning,Klonade fåret Dolly presenteras som det första klonade däggdjuret.,1996
Allmänbildning,Thomas Edison tar patent på glödlampan.,1879
Allmänbildning,Den första bärbara mobiltelefonen säljs av Motorola.,1983
Allmänbildning,Tim Berners-Lee uppfinner World Wide Web.,1989
Allmänbildning,Dmitrij Mendelejev presenterar det periodiska systemet.,1869
Allmänbildning,Det första provrörsbefruktade barnet Louise Brown föds i England.,1978
Allmänbildning,Wikipedia grundas på internet.,2001
Allmänbildning,Röntgen upptäcker röntgenstrålning.,1895
Allmänbildning,Facebook lanseras av Mark Zuckerberg från sitt studentrum.,2004
Allmänbildning,FN:s konvention om barns rättigheter antas.,1989
Allmänbildning,Aspirin börjar säljas i tablettform av Bayer.,1900
Allmänbildning,John Logie Baird visar rörliga bilder via radio – televisionen föds.,1926
Allmänbildning,GPS-systemet öppnas för civil användning runt hela världen.,1994
Allmänbildning,Europakonventionen om de mänskliga rättigheterna träder i kraft.,1953
Allmänbildning,Kopernikus presenterar teorin att Solen är i centrum av solsystemet.,1543
Allmänbildning,Pasteur uppfinner pastörisering och räddar miljontals liv.,1864
Allmänbildning,Den första kärnkraftverket tas i drift i Obninsk i Sovjet.,1954
Allmänbildning,Det första moderna OS hålls i Aten och återupplivar olympiska spelen.,1896
Allmänbildning,Den första blodtransfusionen lyckas på människa.,1818
Allmänbildning,Google grundas av Larry Page och Sergey Brin.,1998
Allmänbildning,Hubble-teleskopet skjuts upp i rymden.,1990
Allmänbildning,Den första hjärttransplantationen genomförs av Christiaan Barnard.,1967
Allmänbildning,MRI-scannern uppfinns och revolutionerar medicinsk diagnos.,1977
Allmänbildning,Första datorn ENIAC tas i drift i USA.,1945
Allmänbildning,Amazon grundas av Jeff Bezos som en webbutik för böcker.,1994
